SECClasS_Code;SECClasS_Title;SECClasS_Title_EN;A1_A3;A1_A5;B1_B5 ;C1_C4;D;Conversion_factor;Unit_Cost;Level;DataBase
Ma_20_81_16;Solo coeso - Cohesive soil;Cohesive soil;0;0;0;0;0;0;0;3;
Ma_20_81_16_80; - Silt;Silt;0;0;0;0;0;0;0;4;
Ma_20_81_35;Solo granular - Granular soil;Granular soil;0;0;0;0;0;0;0;3;
Ma_20_81_35_35;Cascalho - Gravel;Gravel;0;0;0;0;0;0;0;4;
Ma_40;Materiais inorgânicos - Inorganic materials;Inorganic materials;0;0;0;0;0;0;0;1;
Ma_40_04;Amianto - Asbestos;Asbestos;0;0;0;0;0;0;0;2;
Ma_40_12;Carbono - Carbon;Carbon;0;0;0;0;0;0;0;2;
Ma_40_12_35;Grafite - Graphite;Graphite;0;0;0;0;0;0;0;3;
Ma_40_15;Cimento - Cement;Cement;0,83;0;0;0;0;3150;V;2;ICE DB V3
Ma_40_15_01;Cimento acelerado - Accelerated cement;Accelerated cement;0;0;0;0;0;0;0;3;
Ma_40_15_04;Cimento asfáltico - Asphalt cement;Asphalt cement;0;0;0;0;0;0;0;3;
Ma_40_15_12;Cimento aluminoso - Calcium aluminate cement;Calcium aluminate cement;0;0;0;0;0;0;0;3;
Ma_40_15_28;Cimento expansivo - Expanding cement;Expanding cement;0;0;0;0;0;0;0;3;
Ma_40_15_33;Cimento reforçado com fibra de vidro - Glass-reinforced cement;Glass-reinforced cement;0;0;0;0;0;0;0;3;
Ma_40_15_34;Cimento em pó de granito - Granite-powder cement;Granite-powder cement;0;0;0;0;0;0;0;3;
Ma_40_15_35;Cimento de gesso - Gypsum cement;Gypsum cement;0;0;0;0;0;0;0;3;
Ma_40_15_48;Cal - Lime;Lime;0,5;0;0;0;0;2300;0;3;
Ma_40_15_48_31;Cal formulada - Formulated lime;Formulated lime;0;0;0;0;0;0;0;4;
Ma_40_15_48_38;Cal hidratada - Hydrated lime;Hydrated lime;0;0;0;0;0;0;0;4;
Ma_40_15_48_39;Cal hidráulica - Hydraulic lime;Hydraulic lime;0;0;0;0;0;0;0;4;
Ma_40_15_48_56;Cal hidráulica natural - Natural hydraulic lime;Natural hydraulic lime;0;0;0;0;0;0;0;4;
Ma_40_15_48_57;Cal não hidráulica - Non-hydraulic lime;Non-hydraulic lime;0;0;0;0;0;0;0;4;
Ma_40_15_50;Cimento de magnésia - Magnesia cement;Magnesia cement;0;0;0;0;0;0;0;3;
Ma_40_15_52;Cimento para alvenaria - Masonry cement;Masonry cement;0;0;0;0;0;0;0;3;
Ma_40_15_56;Cimento natural - Natural cement;Natural cement;0;0;0;0;0;0;0;3;
Ma_40_15_57;Cimento puro - Neat cement;Neat cement;0;0;0;0;0;0;0;3;
Ma_40_15_59;Cimento oxiclorídrico - Oxychloric cement;Oxychloric cement;0;0;0;0;0;0;0;3;
Ma_40_15_65;Cimento impregnado de polímeros - Polymer-impregnated cement;Polymer-impregnated cement;0;0;0;0;0;0;0;3;
Ma_40_15_66;Cimento Portland - Portland cement;Portland cement;0;0;0;0;0;0;0;3;
Ma_40_15_66_85;Cimento Portland resistente a sulfatos - Sulfate-resisting Portland cement;Sulfate-resisting Portland cement;0;0;0;0;0;0;0;4;
Ma_40_15_67;Cimento pozolânico - Pozzolan cement;Pozzolan cement;0;0;0;0;0;0;0;3;
Ma_40_15_79;Cimento de escória - Slag cement;Slag cement;0;0;0;0;0;0;0;3;
Ma_40_15_81;Cimento de solo - Soil cement;Soil cement;0;0;0;0;0;0;0;3;
Ma_40_15_85;Cimento de enxofre - Sulfur cement;Sulfur cement;0;0;0;0;0;0;0;3;
Ma_40_15_87;Tabby - Tabby;Tabby;0;0;0;0;0;0;0;3;
Ma_40_16;Materiais de substituição do cimento - Cement replacement materials;Cement replacement materials;0;0;0;0;0;0;0;2;
Ma_40_16_17;Sílica de fumo condensada - Condensed silica fume;Condensed silica fume;0;0;0;0;0;0;0;3;
Ma_40_16_35;Escória granulada de alto-forno (GBS) - Granulated blast-furnace slag (GBS);Granulated blast-furnace slag (GBS);0;0;0;0;0;0;0;3;
Ma_40_16_35_35;Escória granulada de alto-forno moída (GGBS) - Ground granulated blast-furnace slag (GGBS);Ground granulated blast-furnace slag (GGBS);0;0;0;0;0;0;0;4;
Ma_40_16_35_61;Escória de alto-forno granulada parcialmente moída (PGGBS) - Partially ground granulated blast-furnace slag (PGGBS);Partially ground granulated blast-furnace slag (PGGBS);0;0;0;0;0;0;0;4;
Ma_40_16_67;Cinzas de combustível pulverizadas - Pulverized fuel ash;Pulverized fuel ash;0;0;0;0;0;0;0;3;
Ma_40_16_67_80;Cinzas de combustível pulverizadas sinterizadas - Sintered pulverized fuel ash;Sintered pulverized fuel ash;0;0;0;0;0;0;0;4;
Ma_40_19;Betão - Concrete;Concrete;0,1;0;0;0;0;2400;V;2;ICE DB V3
Ma_40_19_01;Betão com ar contido - Air-entrained concrete;Air-entrained concrete;0;0;0;0;0;0;0;3;
Ma_40_19_04;Betão asfáltico - Asphalt concrete;Asphalt concrete;0;0;0;0;0;0;0;3;
Ma_40_19_14;Misturas granulares ligadas ao cimento - Cement-bound granular mixtures;Cement-bound granular mixtures;0;0;0;0;0;0;0;3;
Ma_40_19_16;Betão com cinzas - Cinder concrete;Cinder concrete;0,1;0;0;0;0;2400;0;3;
Ma_40_19_22;Betão projectado - Designated concrete;Designated concrete;0,1;0;0;0;0;2400;0;3;
Ma_40_19_23;Betões projectados - Designed concretes;Designed concretes;0,1;0;0;0;0;2400;0;3;
Ma_40_19_29;Betão fino de assentamento - Fine bedding concrete;Fine bedding concrete;0,1;0;0;0;0;2400;0;3;
Ma_40_19_32;Betão com espuma - Foamed concrete;Foamed concrete;0,1;0;0;0;0;2400;0;3;
Ma_40_19_36;Betão resistente ao calor - Heat-resistant concrete;Heat-resistant concrete;0,1;0;0;0;0;2400;0;3;
Ma_40_19_37;Betão de elevado desempenho - High-performance concrete;High-performance concrete;0,1;0;0;0;0;2400;0;3;
Ma_40_19_37_92;Betão de ultra-alto desempenho - Ultra-high-performance concrete;Ultra-high-performance concrete;0,1;0;0;0;0;2400;0;4;
Ma_40_19_39;Misturas com ligantes hidráulicos para estradas - Hydraulic road binder bound mixtures;Hydraulic road binder bound mixtures;0,1;0;0;0;0;2400;0;3;
Ma_40_19_41;Betão in situ - In situ concrete;In situ concrete;0,1;0;0;0;0;2400;0;3;
Ma_40_19_42;Betão isolante - Insulating concrete;Insulating concrete;0,1;0;0;0;0;2400;0;3;
Ma_40_19_42_47;Betão leve isolante - Lightweight insulating concrete;Lightweight insulating concrete;0,1;0;0;0;0;2400;0;4;
Ma_40_19_47;Betão à base de cal - Lime concrete;Lime concrete;0,1;0;0;0;0;2400;0;3;
Ma_40_19_56;Betão sem finos - No-fines concrete;No-fines concrete;0,1;0;0;0;0;2400;0;3;
Ma_40_19_57;Betão de classe normal - Normal-class concrete;Normal-class concrete;0,1;0;0;0;0;2400;0;3;
Ma_40_19_58;Betão de peso normal - Normal-weight concrete;Normal-weight concrete;0,1;0;0;0;0;2400;0;3;
Ma_40_19_61;Betão impregnado de polímeros - Polymer-impregnated concrete;Polymer-impregnated concrete;0,1;0;0;0;0;2400;0;3;
Ma_40_19_63;Betão pós-tensionado - Post-tensioned concrete;Post-tensioned concrete;0,1;0;0;0;0;2400;0;3;
Ma_40_19_65;Betão pré-misturado - Pre-blended concrete;Pre-blended concrete;0,1;0;0;0;0;2400;0;3;
Ma_40_19_66;Betão pré-fabricado - Precast concrete;Precast concrete;0,1;0;0;0;0;2400;0;3;
Ma_40_19_66_65;Betão pré-fabricado arquitectónico - Precast architectural concrete;Precast architectural concrete;0,1;0;0;0;0;2400;0;4;
Ma_40_19_66_66;Betão estrutural pré-fabricado - Precast structural concrete;Precast structural concrete;0,1;0;0;0;0;2400;0;4;
Ma_40_19_66_67;Betão pré-fabricado estrutural pós-tensionado - Precast structural post-tensioned concrete;Precast structural post-tensioned concrete;0,1;0;0;0;0;2400;0;4;
Ma_40_19_67;Betão pré-esforçado - Prestressed concrete;Prestressed concrete;0,1;0;0;0;0;2400;0;3;
Ma_40_19_68;Betão pré-fabricado - Proprietary concrete;Proprietary concrete;0,1;0;0;0;0;2400;0;3;
Ma_40_19_70;Betão pronto - Ready-mixed concrete;Ready-mixed concrete;0,1;0;0;0;0;0;0;3;
Ma_40_19_71;Betão armado - Reinforced concrete;Reinforced concrete;0,24;0;0;0;0;2600;0;3;
Ma_40_19_71_28;Betão expansivo - Expansive concrete;Expansive concrete;0;0;0;0;0;0;0;4;
Ma_40_19_71_34;Betão reforçado com fibra de vidro - Glass fibre-reinforced concrete;Glass fibre-reinforced concrete;0;0;0;0;0;0;0;4;
Ma_40_19_71_37;Betão de alta resistência - High-strength concrete;High-strength concrete;0;0;0;0;0;0;0;4;
Ma_40_19_71_66;Betão prescrito - Prescribed concrete;Prescribed concrete;0;0;0;0;0;0;0;4;
Ma_40_19_71_84;Betão prescrito normalizado - Standardized prescribed concrete;Standardized prescribed concrete;0;0;0;0;0;0;0;4;
Ma_40_19_72;Betão de resina - Resin concrete;Resin concrete;0;0;0;0;0;0;0;3;
Ma_40_19_73;Betão romano - Roman concrete;Roman concrete;0;0;0;0;0;0;0;3;
Ma_40_19_74;Betão de escombros - Rubble concrete;Rubble concrete;0;0;0;0;0;0;0;3;
Ma_40_19_75;Betão auto-adensável - Self-compacting concrete;Self-compacting concrete;0;0;0;0;0;0;0;3;
Ma_40_19_76;Betão auto-adensável - Self-consolidating concrete;Self-consolidating concrete;0;0;0;0;0;0;0;3;
Ma_40_19_78;Misturas ligadas a escórias - Slag bound mixtures;Slag bound mixtures;0;0;0;0;0;0;0;3;
Ma_40_19_80;Betão de reparação de pequenas áreas - Small-area repair concrete;Small-area repair concrete;0;0;0;0;0;0;0;3;
Ma_40_19_82;Betão de classe especial - Special-class concrete;Special-class concrete;0;0;0;0;0;0;0;3;
Ma_40_19_82_82;Betão de prescrição especial - Special-class prescription concrete;Special-class prescription concrete;0;0;0;0;0;0;0;4;
Ma_40_19_82_83;Betão de desempenho especial - Special-class performance concrete;Special-class performance concrete;0;0;0;0;0;0;0;4;
Ma_40_19_84;Betão projectado - Sprayed concrete;Sprayed concrete;0;0;0;0;0;0;0;3;
Ma_40_19_84_84;Betão projetado por processo seco reforçado com aço - Steel-reinforced dry process sprayed concrete;Steel-reinforced dry process sprayed concrete;0;0;0;0;0;0;0;4;
Ma_40_19_86;Betão resistente aos sulfatos - Sulfate-resistant concrete;Sulfate-resistant concrete;0;0;0;0;0;0;0;3;
Ma_40_19_93;Betão subaquático - Underwater concrete;Underwater concrete;0;0;0;0;0;0;0;3;
Ma_40_33;Gases - Gases;Gases;0;0;0;0;0;0;0;2;
Ma_40_33_03;Amoníaco - Ammonia;Ammonia;0;0;0;0;0;0;0;3;
Ma_40_33_12;Dióxido de carbono (CO2) - Carbon dioxide (CO2);Carbon dioxide (CO2);0;0;0;0;0;0;0;3;
Ma_40_33_13;Monóxido de carbono (CO) - Carbon monoxide (CO);Carbon monoxide (CO);0;0;0;0;0;0;0;3;
Ma_40_33_15;Cloro - Chlorine;Chlorine;0;0;0;0;0;0;0;3;
Ma_40_33_17;Ar comprimido - Compressed air;Compressed air;0;0;0;0;0;0;0;3;
Ma_40_33_37;Hélio - Helium;Helium;0;0;0;0;0;0;0;3;
Ma_40_33_39;Hidrogénio - Hydrogen;Hydrogen;0;0;0;0;0;0;0;3;
Ma_40_33_56;Azoto - Nitrogen;Nitrogen;0;0;0;0;0;0;0;3;
Ma_40_33_57;Óxido nitroso (N2O) - Nitrous oxide (N2O);Nitrous oxide (N2O);0;0;0;0;0;0;0;3;
Ma_40_33_58;Oxigénio - Oxygen;Oxygen;0;0;0;0;0;0;0;3;
Ma_40_33_59;Ozono - Ozone;Ozone;0;0;0;0;0;0;0;3;
Ma_40_33_71;Radão - Radon;Radon;0;0;0;0;0;0;0;3;
Ma_40_35;Vidro - Glass;Glass;1,44;0;0;0;0;2500;V;2;ICE DB V3
Ma_40_35_04;Vidro de arquitectura - Architectural glass;Architectural glass;1,44;0;0;0;0;2500;0;3;
Ma_40_35_04_30;Vidro figurado - Figured glass;Figured glass;0;0;0;0;0;0;0;4;
Ma_40_35_04_82;Vidro de telha - Spandrel glass;Spandrel glass;0;0;0;0;0;0;0;4;
Ma_40_35_04_85;Vidro estrutural - Structural glass;Structural glass;0;0;0;0;0;0;0;4;
Ma_40_35_07;Vidro soprado - Blown glass;Blown glass;0;0;0;0;0;0;0;3;
Ma_40_35_09;Vidro borossilicato - Borosilicate glass;Borosilicate glass;0;0;0;0;0;0;0;3;
Ma_40_35_17;Vidro colorido - Coloured glass;Coloured glass;0;0;0;0;0;0;0;3;
Ma_40_35_22;Vidro dicromático - Dichromatic glass;Dichromatic glass;0;0;0;0;0;0;0;3;
Ma_40_35_29;Fibra de vidro - Fibreglass;Fibreglass;0;0;0;0;0;0;0;3;
Ma_40_35_31;Vidro flutuante - Float glass;Float glass;0;0;0;0;0;0;0;3;
Ma_40_35_33;Vidro anti-reflexo - Glare-reducing glass;Glare-reducing glass;0;0;0;0;0;0;0;3;
Ma_40_35_34;Lã de vidro - Glass wool;Glass wool;2,33;0;0;0;0;50;0;3;ICE DB V3
Ma_40_35_35;Vidro verde - Green glass;Green glass;0;0;0;0;0;0;0;3;
Ma_40_35_37;Vidro de absorção de calor - Heat-absorbing glass;Heat-absorbing glass;0;0;0;0;0;0;0;3;
Ma_40_35_38;Vidro resistente ao calor - Heat-resisting glass;Heat-resisting glass;0;0;0;0;0;0;0;3;
Ma_40_35_39;Vidro resistente ao calor - Heat-strengthened glass;Heat-strengthened glass;0;0;0;0;0;0;0;3;
Ma_40_35_41;Vidro isolante - Insulating glass;Insulating glass;0;0;0;0;0;0;0;3;
Ma_40_35_46;Vidro de chumbo - Lead glass;Lead glass;0;0;0;0;0;0;0;3;
Ma_40_35_46_19;Vidro de cristal - Crystal glass;Crystal glass;0;0;0;0;0;0;0;4;
Ma_40_35_46_30;Vidro de sílex - Flint glass;Flint glass;0;0;0;0;0;0;0;4;
Ma_40_35_48;Vidro de cal - Lime glass;Lime glass;0;0;0;0;0;0;0;3;
Ma_40_35_53;Vidro de mosaico - Mosaic glass;Mosaic glass;0;0;0;0;0;0;0;3;
Ma_40_35_57;Vidro não reflector - Non-reflective glass;Non-reflective glass;0;0;0;0;0;0;0;3;
Ma_40_35_59;Vidro opalino - Opal glass;Opal glass;0;0;0;0;0;0;0;3;
Ma_40_35_61;Vidro com padrão - Patterned glass;Patterned glass;0;0;0;0;0;0;0;3;
Ma_40_35_63;Vidro fotossensível - Photosensitive glass;Photosensitive glass;0;0;0;0;0;0;0;3;
Ma_40_35_65;Vidro de placa - Plate glass;Plate glass;0;0;0;0;0;0;0;3;
Ma_40_35_67;Vidro prismático - Prismatic glass;Prismatic glass;0;0;0;0;0;0;0;3;
Ma_40_35_71;Vidro reflector - Reflective glass;Reflective glass;0;0;0;0;0;0;0;3;
Ma_40_35_73;Vidro laminado - Rolled glass;Rolled glass;0;0;0;0;0;0;0;3;
Ma_40_35_75;Vidro de segurança - Safety glass;Safety glass;0;0;0;0;0;0;0;3;
Ma_40_35_75_03;Vidro anti-bandido - Anti-bandit glass;Anti-bandit glass;0;0;0;0;0;0;0;4;
Ma_40_35_75_10;Vidro resistente a balas - Bullet-resistant glass;Bullet-resistant glass;0;0;0;0;0;0;0;4;
Ma_40_35_75_97;Vidro com arame - Wired glass;Wired glass;0;0;0;0;0;0;0;4;
Ma_40_35_78;Vidro de chapa - Sheet glass;Sheet glass;0;0;0;0;0;0;0;3;
Ma_40_35_99;Vidro de protecção contra raios X - X-ray protective glass;X-ray protective glass;0;0;0;0;0;0;0;3;
Ma_40_52;Metal - Metal;Metal;3,01;0;0;0;0;0;0;2;ICE DB V3
Ma_40_52_03;Alumínio - Aluminium;Aluminium;6,67;0;0;0;0;2700;0;3;ICE DB V3
Ma_40_52_08;Latão - Brass;Brass;0;0;0;0;0;0;0;3;
Ma_40_52_09;Bronze - Bronze;Bronze;0;0;0;0;0;0;0;3;
Ma_40_52_18;Cobre - Copper;Copper;2,71;0;0;0;0;0;0;3;
Ma_40_52_34;Ouro - Gold;Gold;0;0;0;0;0;0;0;3;
Ma_40_52_42;Ferro - Iron;Iron;0;0;0;0;0;0;0;3;
Ma_40_52_42_11;Ferro fundido - Cast iron;Cast iron;0;0;0;0;0;0;0;4;
Ma_40_52_42_83;Ferro de grafite esferoidal - Spheroidal graphite iron;Spheroidal graphite iron;0;0;0;0;0;0;0;4;
Ma_40_52_42_98;Ferro forjado - Wrought iron;Wrought iron;0;0;0;0;0;0;0;4;
Ma_40_52_47;Chumbo - Lead;Lead;0;0;0;0;0;0;0;3;
Ma_40_52_79;Prata - Silver;Silver;0;0;0;0;0;0;0;3;
Ma_40_52_83;Aço - Steel;Steel;3,02;0;0;0;0;7700;0;3;ICE DB V3
Ma_40_52_83_08;Aço blister - Blister steel;Blister steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_12;Aço carbono - Carbon steel;Carbon steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_16;Aço cromado - Chrome steel;Chrome steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_33;Aço galvanizado - Galvanized steel;Galvanized steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_36;Aço com alto teor de carbono - High-carbon steel;High-carbon steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_37;Aço de baixa liga de alta resistência - High-strength low-alloy steel;High-strength low-alloy steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_47;Aço com baixo teor de carbono - Low-carbon steel;Low-carbon steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_51;Aço manganês - Manganese steel;Manganese steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_52;Aço com médio teor de carbono - Medium-carbon steel;Medium-carbon steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_56;Aço ao níquel - Nickel steel;Nickel steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_82;Aço inoxidável - Stainless steel;Stainless steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_83;Liga de aço-alumínio - Steel-aluminium alloy;Steel-aluminium alloy;0;0;0;0;0;0;0;4;
Ma_40_52_83_85;Aço estrutural - Structural steel;Structural steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_87;Aço revestido a terno - Terne-coated steel;Terne-coated steel;0;0;0;0;0;0;0;4;
Ma_40_52_83_89;Aço titânio - Titanium steel;Titanium steel;0;0;0;0;0;0;0;4;
