SECClasS_Code;SECCLasS_Title;WBS_L1;WBS_Title_L1;WBS_L2;WBS_Title_L2;WBS_L3;WBS_Title_L3;WBS_Code;WBS_Title;Expected_lifespan;Unit of Measure;Conversion Factor (Kg/m3, Kg/m2, kg/m, kg/u);Unit_Cost;GWP A1-A3 (kgCo2e/m3, kgCo2e/m2, kgCo2e/m, kgCo2e/u);Concrete (%);Clay bricks (%);Ceramic Tiles (%);Ceramic (%);Wood (%);Glass (%);Plastics (%);Bituminous material (%);Copper (%);Aluminium (%);Steel (%);Metal (%);Stone (%);Cork (%);Expanded polystyrene (EPS) (%);Extruded polystyrene foam (XPS) (%);Asbestos (%);Gypsum (%);Adobe (%);Teste (%);Fiberglass (%)
EF_20_50_01;Encontros - Abutments;01_;Shell;01_02_;Loadbearing structural frame;01_02_01_;Frame (beams, columns and slabs);01_02_01_;Frame (beams, columns and slabs);60;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_20_50_07;Aparelhos de apoio - Bearings;01_;Shell;01_02_;Loadbearing structural frame;01_02_01_;Frame (beams, columns and slabs);01_02_01_;Frame (beams, columns and slabs);60;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_20_50_64;Pilares/ Elementos de carga vertical - Piers;01_;Shell;01_02_;Loadbearing structural frame;01_02_01_;Frame (beams, columns and slabs);01_02_01_;Frame (beams, columns and slabs);60;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_20_50_82;Vãos - Span;01_;Shell;01_02_;Loadbearing structural frame;01_04_02_;Façade openings (including windows and external doors);01_04_02_;Façade openings (including windows and external doors);30;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_25;Elementos de parede e de barreira - Wall and barrier elements;01_;Shell;01_02_;Loadbearing structural frame;01_02_01_;Frame (beams, columns and slabs);01_02_01_;Frame (beams, columns and slabs);60;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_25_10;Paredes - Walls;01_;Shell;01_03_;Non-load bearing elements;01_03_02_;Internal walls, partitions and doors;01_03_02_;Internal walls, partitions and doors;30;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_25_30;Portas e janelas - Doors and windows;01_;Shell;01_03_;Non-load bearing elements;01_03_02_;Internal walls, partitions and doors;01_03_02_;Internal walls, partitions and doors;30;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_25_55;Barreiras - Barriers;01_;Shell;01_03_;Non-load bearing elements;01_03_02_;Internal walls, partitions and doors;01_03_02_;Internal walls, partitions and doors;30;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_30;Coberturas, elementos de piso e pavimento - Roofs, floor and paving elements;02_;Core;; ;; ;02_;Core;30;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_30_10;Coberturas - Roofs;01_;Shell;01_05_;Roof;; ;01_05_;Roof;30;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_30_20;Pisos - Floors;01_;Shell;02_01_;Fittings and furnishings;01_02_02_;Upper floors;01_02_02_;Upper floors;60;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_30_60;Pavimentos - Pavements;02_;Core;02_01_;Fittings and furnishings;02_01_03_;Floor finishes, coverings and coatings;02_01_03_;Floor finishes, coverings and coatings;30;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_30_60_60;Pavimento pedestres - Pedestrian paving;03_;External works;03_02_;Landscaping;03_02_01_;Paving and other hard surfacing;03_02_01_;Paving and other hard surfacing;25;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_30_60_95;Pavimentos para veículos - Vehicular paving;03_;External works;03_02_;Landscaping;03_02_01_;Paving and other hard surfacing;03_02_01_;Paving and other hard surfacing;25;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_30_70;Tabuleiros de pontes - Bridge decks;01_;Shell;01_02_;Loadbearing structural frame;01_02_01_;Frame (beams, columns and slabs);01_02_01_;Frame (beams, columns and slabs);60;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_35;Escadas e rampas - Stairs and ramps;01_;Shell;01_03_;Non-load bearing elements;01_03_03_;Stairs and ramps;01_03_03_;Stairs and ramps;30;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_35_10;Escadas - Stairs;01_;Shell;01_03_;Non-load bearing elements;01_03_03_;Stairs and ramps;01_03_03_;Stairs and ramps;30;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_35_10_30;Escadas externas - External stairs;01_;Shell;01_03_;Non-load bearing elements;01_03_03_;Stairs and ramps;01_03_03_;Stairs and ramps;30;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_35_10_40;Escadas internas - Internal stairs;01_;Shell;01_03_;Non-load bearing elements;01_03_03_;Stairs and ramps;01_03_03_;Stairs and ramps;30;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_35_20;Rampas - Ramps;01_;Shell;01_03_;Non-load bearing elements;01_03_03_;Stairs and ramps;01_03_03_;Stairs and ramps;30;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_35_20_30;Rampas externas - External ramps;01_;Shell;01_03_;Non-load bearing elements;01_03_03_;Stairs and ramps;01_03_03_;Stairs and ramps;30;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_35_20_40;Rampas internas - Internal ramps;01_;Shell;01_03_;Non-load bearing elements;01_03_03_;Stairs and ramps;01_03_03_;Stairs and ramps;30;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_37;Túneis, elementos de reservatórios e torres - Tunnel, vessel and tower elements;01_;Shell;01_03_;Non-load bearing elements;01_03_03_;Stairs and ramps;01_03_03_;Stairs and ramps;30;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_37_16;Reservatórios e valas - Vessels and trenches;03_;External works;03_02_;Landscaping;; ;03_02_;Landscaping;25;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_37_16_90;Valas - Trenches;03_;External works;03_02_;Landscaping;; ;03_02_;Landscaping;25;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_37_16_94;Reservatórios - Vessels;03_;External works;03_02_;Landscaping;; ;03_02_;Landscaping;25;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_37_17;Torres, chaminés e mastros - Towers, chimneys and masts;03_;External works;03_02_;Landscaping;; ;03_02_;Landscaping;25;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_37_17_15;Chaminés - Chimneys;03_;External works;03_02_;Landscaping;; ;03_02_;Landscaping;25;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_37_17_35;Pórticos - Gantries;01_;Shell;01_02_;Loadbearing structural frame;01_02_01_;Frame (beams, columns and slabs);01_02_01_;Frame (beams, columns and slabs);60;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_37_17_50;Mastros - Masts;03_;External works;03_02_;Landscaping;; ;03_02_;Landscaping;25;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_37_17_70;Postes - Pylons;03_;External works;03_02_;Landscaping;; ;03_02_;Landscaping;25;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_37_17_90;Torres - Towers;03_;External works;03_02_;Landscaping;; ;03_02_;Landscaping;25;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_37_50;Túneis e poços - Tunnels and shafts;03_;External works;03_02_;Landscaping;; ;03_02_;Landscaping;25;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_40;Sinalização, acessórios, móveis e equipamentos - Signage, fittings, furnishings and equipment;03_;External works;03_02_;Landscaping;; ;03_02_;Landscaping;25;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_40_10;Sinalização - Signage;01_;Shell;02_06_;Other systems;02_06_03_;Communication and security installations;02_06_03_;Communication and security installations;15;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_40_20;Acessórios - Fittings;02_;Core;02_01_;Fittings and furnishings;; ;02_01_;Fittings and furnishings;20;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_40_30;Mobiliário - Furnishings;02_;Core;02_01_;Fittings and furnishings;; ;02_01_;Fittings and furnishings;20;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_40_40;Equipamentos - Equipment;02_;Core;02_01_;Fittings and furnishings;; ;02_01_;Fittings and furnishings;20;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_45;Elementos de flora e fauna - Flora and fauna elements;03_;External works;03_02_;Landscaping;; ;03_02_;Landscaping;25;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_45_03;Elementos da fauna aquática - Aquatic fauna elements;03_;External works;03_02_;Landscaping;; ;03_02_;Landscaping;25;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_45_05;Elementos da flora aquática - Aquatic flora elements;03_;External works;03_02_;Landscaping;; ;03_02_;Landscaping;25;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_45_20;Elementos de relva e prados - Grass and meadow elements;03_;External works;03_02_;Landscaping;; ;03_02_;Landscaping;25;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_45_45;Elementos da fauna terrestre - Land fauna elements;03_;External works;03_02_;Landscaping;; ;03_02_;Landscaping;25;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_45_90;Elementos de árvores, arbustos e plantas herbáceas - Tree, shrub and herbaceous plant elements;03_;External works;03_02_;Landscaping;; ;03_02_;Landscaping;25;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_50;Funções de eliminação de resíduos - Waste disposal functions;03_;External works;03_02_;Landscaping;; ;03_02_;Landscaping;25;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_50_10;Recolha de resíduos de gás - Gas waste collection;03_;External works;03_01_;Utilities;03_01_02_;Substations and equipment;03_01_02_;Substations and equipment;30;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_50_20;Recolha de resíduos húmidos - Wet waste collection;03_;External works;03_01_;Utilities;03_01_02_;Substations and equipment;03_01_02_;Substations and equipment;30;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_50_30;Recolha de drenagem acima do solo - Above-ground drainage collection;03_;External works;03_01_;Utilities;03_01_02_;Substations and equipment;03_01_02_;Substations and equipment;30;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_50_35;Recolha de drenagem subterrânea - Below-ground drainage collection;03_;External works;03_01_;Utilities;03_01_02_;Substations and equipment;03_01_02_;Substations and equipment;30;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_50_40;Recolha de resíduos sólidos - Dry waste collection;03_;External works;03_01_;Utilities;03_01_02_;Substations and equipment;03_01_02_;Substations and equipment;30;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_50_50;Tratamento e eliminação de resíduos de gás - Gas waste treatment and disposal;03_;External works;03_01_;Utilities;03_01_02_;Substations and equipment;03_01_02_;Substations and equipment;30;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_50_60;Tratamento e eliminação de resíduos húmidos - Wet waste treatment and disposal;03_;External works;03_01_;Utilities;03_01_02_;Substations and equipment;03_01_02_;Substations and equipment;30;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_50_70;Tratamento e eliminação de esgotos - Drainage treatment and disposal;03_;External works;03_01_;Utilities;03_01_02_;Substations and equipment;03_01_02_;Substations and equipment;30;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_50_75;Tratamento e eliminação de águas residuais - Wastewater treatment and disposal;03_;External works;03_01_;Utilities;03_01_02_;Substations and equipment;03_01_02_;Substations and equipment;30;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_50_80;Tratamento e eliminação de resíduos secos - Dry waste treatment and disposal;03_;External works;03_01_;Utilities;03_01_02_;Substations and equipment;03_01_02_;Substations and equipment;30;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_55;Funções de abastecimento canalizado - Piped supply functions;03_;External works;03_01_;Utilities;03_01_02_;Substations and equipment;03_01_02_;Substations and equipment;30;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_55_05;Extração e tratamento de gás - Gas extraction and treatment;02_;Core;02_03_;Energy system;02_03_01_;Heating plant and distribution;02_03_01_;Heating plant and distribution;20;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_55_10;Extração e tratamento de combustível líquido - Liquid fuel extraction and treatment;02_;Core;02_03_;Energy system;02_03_01_;Heating plant and distribution;02_03_01_;Heating plant and distribution;20;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_55_15;Extração e tratamento de água - Water extraction and treatment;02_;Core;02_05_;Sanitary systems;02_05_02_;Water treatment systems;02_05_02_;Water treatment systems;25;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_55_20;Abastecimento de gás - Gas supply;02_;Core;02_03_;Energy system;02_03_01_;Heating plant and distribution;02_03_01_;Heating plant and distribution;20;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_55_30;Fornecimento de extinção de incêndio (?) - Fire extinguishing supply;02_;Core;02_06_;Other systems;02_06_02_;Firefighting installations;02_06_02_;Firefighting installations;30;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_55_40;Fornecimento de vapor - Steam supply;02_;Core;02_03_;Energy system;02_03_01_;Heating plant and distribution;02_03_01_;Heating plant and distribution;20;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_55_50;Abastecimento de combustível líquido - Liquid fuel supply;02_;Core;02_03_;Energy system;02_03_01_;Heating plant and distribution;02_03_01_;Heating plant and distribution;20;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_55_60;Abastecimento de líquido refrigerante - Process liquid supply;02_;Core;02_03_;Energy system;02_03_01_;Heating plant and distribution;02_03_01_;Heating plant and distribution;20;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_55_70;Abastecimento de água - Water supply;02_;Core;02_05_;Sanitary systems;; ;02_05_;Sanitary systems;25;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_55_90;Fornecimento canalizado de sólidos - Piped solids supply;02_;Core;02_03_;Energy system;02_03_03_;Cooling plant and distribution;02_03_03_;Cooling plant and distribution;15;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_60;Funções de aquecimento, arrefecimento e refrigeração - Heating, cooling and refrigeration functions;02_;Core;02_03_;Energy system;02_03_03_;Cooling plant and distribution;02_03_03_;Cooling plant and distribution;15;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_60_30;Aquecimento do pavimento e da ferrovia - Rail and paving heating;02_;Core;02_03_;Energy system;02_03_03_;Cooling plant and distribution;02_03_03_;Cooling plant and distribution;15;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_60_40;Aquecimento e arrefecimento do espaço - Space heating and cooling;02_;Core;02_04_;Ventilation system;02_04_01_;Air handling units;02_04_01_;Air handling units;20;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_60_60;Refrigeração - Refrigeration;02_;Core;02_04_;Ventilation system;02_04_01_;Air handling units;02_04_01_;Air handling units;20;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_60_80;Secagem - Drying;02_;Core;02_04_;Ventilation system;02_04_01_;Air handling units;02_04_01_;Air handling units;20;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_65;Funções de ventilação e ar condicionado - Ventilation and air conditioning functions;02_;Core;02_04_;Ventilation system;02_04_01_;Air handling units;02_04_01_;Air handling units;20;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_65_40;Ventilação - Ventilation;02_;Core;02_04_;Ventilation system;02_04_01_;Air handling units;02_04_01_;Air handling units;20;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_65_80;Ar condicionado - Air conditioning;02_;Core;02_04_;Ventilation system;02_04_01_;Air handling units;02_04_01_;Air handling units;20;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_70;Funções de energia elétrica e iluminação - Electrical power and lighting functions;02_;Core;02_03_;Energy system;02_03_05_;Electricity distribution;02_03_05_;Electricity distribution;30;L;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_70_10;Geração de energia elétrica - Electrical power generation;02_;Core;02_03_;Energy system;02_03_05_;Electricity distribution;02_03_05_;Electricity distribution;30;L;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_70_30;Distribuição e transmissão de eletricidade - Electricity distribution and transmission;02_;Core;02_03_;Energy system;02_03_05_;Electricity distribution;02_03_05_;Electricity distribution;30;L;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_70_80;Iluminação - Lighting;02_;Core;02_02_;In-built lighting system;02_02_06_;Light fittings;02_02_06_;Light fittings;15;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_75;Funções de comunicações, segurança e proteção - Communications, security, safety and protection functions;02_;Core;02_06_;Other systems;02_06_03_;Communication and security installations;02_06_03_;Communication and security installations;15;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_75_10;Comunicação - Communication;02_;Core;02_06_;Other systems;02_06_03_;Communication and security installations;02_06_03_;Communication and security installations;15;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_75_30;Sinalização - Signalling;02_;Core;02_06_;Other systems;02_06_03_;Communication and security installations;02_06_03_;Communication and security installations;15;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_75_40;Segurança - Security;02_;Core;02_06_;Other systems;02_06_03_;Communication and security installations;02_06_03_;Communication and security installations;15;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_75_50;Segurança e proteção - Safety and protection;02_;Core;02_06_;Other systems;02_06_03_;Communication and security installations;02_06_03_;Communication and security installations;15;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_75_60;Segurança ambiental - Environmental safety;02_;Core;02_06_;Other systems;02_06_03_;Communication and security installations;02_06_03_;Communication and security installations;15;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_75_70;Controlo e gestão - Control and management;03_;External works;03_01_;Utilities;03_01_02_;Substations and equipment;03_01_02_;Substations and equipment;30;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_75_80;Proteção - Protection;02_;Core;02_06_;Other systems;02_06_03_;Communication and security installations;02_06_03_;Communication and security installations;15;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_80;Funções de transporte - Transport functions;03_;External works;03_01_;Utilities;03_01_02_;Substations and equipment;03_01_02_;Substations and equipment;30;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_80_10;Transporte via cabo - Cable transport;02_;Core;02_06_;Other systems;02_06_04_;Telecoms and data installations;02_06_04_;Telecoms and data installations;15;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_80_20;Tapetes e esteiras de transporte - Conveyors;02_;Core;02_06_;Other systems;02_06_01_;Lifts and escalators;02_06_01_;Lifts and escalators;20;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_80_30;Gruas e guinchos - Cranes and hoists;02_;Core;02_06_;Other systems;02_06_01_;Lifts and escalators;02_06_01_;Lifts and escalators;20;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_80_50;Elevadores - Lifts;02_;Core;02_06_;Other systems;02_06_01_;Lifts and escalators;02_06_01_;Lifts and escalators;20;U;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_80_70;Ferrovias - Rail tracks;02_;Core;03_02_;Landscaping;03_02_01_;Paving and other hard surfacing;03_02_01_;Paving and other hard surfacing;25;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ss_15;Sistemas de terraplanagem, correção e sistemas temporários - Earthworks, remediation and temporary systems;03_;External works;;;;;03_;External works;30;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ss_15_10;Sistemas de terraplanagem e preparação de terreno - Groundworks and earthworks systems;03_;External works;03_01_;Utilities;;;03_01_;Utilities;30;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ss_15_10_30;Sistemas de escavação, enchimento e controlo de erosão - Excavating, filling and erosion control systems;03_;External works;03_01_;Utilities;;;03_01_;Utilities;30;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ss_15_10_30_05;Sistemas de aterro - Backfill systems;03_;External works;03_01_;Utilities;;;03_01_;Utilities;30;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
